author,title
circinia,Regular Check-In Post
SQLwitch,"Our most-broken and least-understood rules is ""helpers may not invite private contact as a first resort"", so we've made a new wiki to explain it"
erieands,Does anyone else listen to music for hours and daydream of a life they don’t have?
LaurenieLulu,Does anyone else sleep a lot to escape the pain?
DepressedTeen1603,Depression has made me dumber.
123ww55ssopa,The whole concept of family is bullshit .
MinelanMedia,I feel like I have no reason to be sad compared to what others are going through.
SomeSpeedyBoi,I took a shower without my mom telling me to do so
cake-day-every-day,Frozen 2 has the best portrayal of depression I think I’ve ever seen.
CocoLoco29,Any fellow Americans dreading thanksgiving tomorrow?
meditate03,Does anyone else talk softly because projecting your voice takes too much energy?
secretlyslytherin,Anyone else sick of people acting like meditation can solve all your problems?
lokiues,I physically and emotionally can't feel.
johnny_walker_lee,My psychiatrist died
GalacticHostess,I made it to work today but keep randomly having tears well up while on my calls.
IsleOfTheCheetah1331,I'm falling apart
lemonadecoldpressed,I cannot anymore.
onionsucker,"Alone, drunk and fucking miserable"
Mestiza76,I'm planning to kill myself next week
BimoUK,Ever wish you could just will yourself out of existence?
McFillet01,Experience with repressed memories?
soupsumyunguy,I am banned from the nation suicide lifeline
sicamngo,I'm having a hard week. Please tell me everything is going to be okay.
1nt3rnalv01d,Does anyone else feel they need to escape their own mind ?
humanbratzdoll,Do you ever trigger yourself on purpose?
rutgers_throwaway123,celebrating small college achievements
commonbrahmin,Progress
circinia,Regular Check-In Post
SQLwitch,"Our most-broken and least-understood rules is ""helpers may not invite private contact as a first resort"", so we've made a new wiki to explain it"
erieands,Does anyone else listen to music for hours and daydream of a life they don’t have?
LaurenieLulu,Does anyone else sleep a lot to escape the pain?
DepressedTeen1603,Depression has made me dumber.
123ww55ssopa,The whole concept of family is bullshit .
MinelanMedia,I feel like I have no reason to be sad compared to what others are going through.
SomeSpeedyBoi,I took a shower without my mom telling me to do so
cake-day-every-day,Frozen 2 has the best portrayal of depression I think I’ve ever seen.
CocoLoco29,Any fellow Americans dreading thanksgiving tomorrow?
meditate03,Does anyone else talk softly because projecting your voice takes too much energy?
secretlyslytherin,Anyone else sick of people acting like meditation can solve all your problems?
lokiues,I physically and emotionally can't feel.
johnny_walker_lee,My psychiatrist died
GalacticHostess,I made it to work today but keep randomly having tears well up while on my calls.
IsleOfTheCheetah1331,I'm falling apart
lemonadecoldpressed,I cannot anymore.
onionsucker,"Alone, drunk and fucking miserable"
Mestiza76,I'm planning to kill myself next week
BimoUK,Ever wish you could just will yourself out of existence?
McFillet01,Experience with repressed memories?
soupsumyunguy,I am banned from the nation suicide lifeline
sicamngo,I'm having a hard week. Please tell me everything is going to be okay.
1nt3rnalv01d,Does anyone else feel they need to escape their own mind ?
humanbratzdoll,Do you ever trigger yourself on purpose?
rutgers_throwaway123,celebrating small college achievements
commonbrahmin,Progress
circinia,Regular Check-In Post
SQLwitch,"Our most-broken and least-understood rules is ""helpers may not invite private contact as a first resort"", so we've made a new wiki to explain it"
erieands,Does anyone else listen to music for hours and daydream of a life they don’t have?
LaurenieLulu,Does anyone else sleep a lot to escape the pain?
DepressedTeen1603,Depression has made me dumber.
123ww55ssopa,The whole concept of family is bullshit .
MinelanMedia,I feel like I have no reason to be sad compared to what others are going through.
SomeSpeedyBoi,I took a shower without my mom telling me to do so
cake-day-every-day,Frozen 2 has the best portrayal of depression I think I’ve ever seen.
CocoLoco29,Any fellow Americans dreading thanksgiving tomorrow?
meditate03,Does anyone else talk softly because projecting your voice takes too much energy?
secretlyslytherin,Anyone else sick of people acting like meditation can solve all your problems?
lokiues,I physically and emotionally can't feel.
johnny_walker_lee,My psychiatrist died
GalacticHostess,I made it to work today but keep randomly having tears well up while on my calls.
IsleOfTheCheetah1331,I'm falling apart
lemonadecoldpressed,I cannot anymore.
onionsucker,"Alone, drunk and fucking miserable"
Mestiza76,I'm planning to kill myself next week
BimoUK,Ever wish you could just will yourself out of existence?
McFillet01,Experience with repressed memories?
soupsumyunguy,I am banned from the nation suicide lifeline
sicamngo,I'm having a hard week. Please tell me everything is going to be okay.
1nt3rnalv01d,Does anyone else feel they need to escape their own mind ?
humanbratzdoll,Do you ever trigger yourself on purpose?
rutgers_throwaway123,celebrating small college achievements
commonbrahmin,Progress
circinia,Regular Check-In Post
SQLwitch,"Our most-broken and least-understood rules is ""helpers may not invite private contact as a first resort"", so we've made a new wiki to explain it"
erieands,Does anyone else listen to music for hours and daydream of a life they don’t have?
LaurenieLulu,Does anyone else sleep a lot to escape the pain?
DepressedTeen1603,Depression has made me dumber.
123ww55ssopa,The whole concept of family is bullshit .
MinelanMedia,I feel like I have no reason to be sad compared to what others are going through.
SomeSpeedyBoi,I took a shower without my mom telling me to do so
cake-day-every-day,Frozen 2 has the best portrayal of depression I think I’ve ever seen.
CocoLoco29,Any fellow Americans dreading thanksgiving tomorrow?
meditate03,Does anyone else talk softly because projecting your voice takes too much energy?
secretlyslytherin,Anyone else sick of people acting like meditation can solve all your problems?
lokiues,I physically and emotionally can't feel.
johnny_walker_lee,My psychiatrist died
GalacticHostess,I made it to work today but keep randomly having tears well up while on my calls.
IsleOfTheCheetah1331,I'm falling apart
lemonadecoldpressed,I cannot anymore.
onionsucker,"Alone, drunk and fucking miserable"
Mestiza76,I'm planning to kill myself next week
BimoUK,Ever wish you could just will yourself out of existence?
McFillet01,Experience with repressed memories?
soupsumyunguy,I am banned from the nation suicide lifeline
sicamngo,I'm having a hard week. Please tell me everything is going to be okay.
1nt3rnalv01d,Does anyone else feel they need to escape their own mind ?
humanbratzdoll,Do you ever trigger yourself on purpose?
rutgers_throwaway123,celebrating small college achievements
commonbrahmin,Progress
circinia,Regular Check-In Post
SQLwitch,"Our most-broken and least-understood rules is ""helpers may not invite private contact as a first resort"", so we've made a new wiki to explain it"
erieands,Does anyone else listen to music for hours and daydream of a life they don’t have?
LaurenieLulu,Does anyone else sleep a lot to escape the pain?
DepressedTeen1603,Depression has made me dumber.
123ww55ssopa,The whole concept of family is bullshit .
MinelanMedia,I feel like I have no reason to be sad compared to what others are going through.
SomeSpeedyBoi,I took a shower without my mom telling me to do so
cake-day-every-day,Frozen 2 has the best portrayal of depression I think I’ve ever seen.
CocoLoco29,Any fellow Americans dreading thanksgiving tomorrow?
meditate03,Does anyone else talk softly because projecting your voice takes too much energy?
secretlyslytherin,Anyone else sick of people acting like meditation can solve all your problems?
lokiues,I physically and emotionally can't feel.
johnny_walker_lee,My psychiatrist died
GalacticHostess,I made it to work today but keep randomly having tears well up while on my calls.
IsleOfTheCheetah1331,I'm falling apart
lemonadecoldpressed,I cannot anymore.
onionsucker,"Alone, drunk and fucking miserable"
Mestiza76,I'm planning to kill myself next week
BimoUK,Ever wish you could just will yourself out of existence?
McFillet01,Experience with repressed memories?
soupsumyunguy,I am banned from the nation suicide lifeline
sicamngo,I'm having a hard week. Please tell me everything is going to be okay.
1nt3rnalv01d,Does anyone else feel they need to escape their own mind ?
humanbratzdoll,Do you ever trigger yourself on purpose?
rutgers_throwaway123,celebrating small college achievements
commonbrahmin,Progress
circinia,Regular Check-In Post
SQLwitch,"Our most-broken and least-understood rules is ""helpers may not invite private contact as a first resort"", so we've made a new wiki to explain it"
erieands,Does anyone else listen to music for hours and daydream of a life they don’t have?
LaurenieLulu,Does anyone else sleep a lot to escape the pain?
DepressedTeen1603,Depression has made me dumber.
123ww55ssopa,The whole concept of family is bullshit .
MinelanMedia,I feel like I have no reason to be sad compared to what others are going through.
SomeSpeedyBoi,I took a shower without my mom telling me to do so
cake-day-every-day,Frozen 2 has the best portrayal of depression I think I’ve ever seen.
CocoLoco29,Any fellow Americans dreading thanksgiving tomorrow?
meditate03,Does anyone else talk softly because projecting your voice takes too much energy?
secretlyslytherin,Anyone else sick of people acting like meditation can solve all your problems?
lokiues,I physically and emotionally can't feel.
johnny_walker_lee,My psychiatrist died
GalacticHostess,I made it to work today but keep randomly having tears well up while on my calls.
IsleOfTheCheetah1331,I'm falling apart
lemonadecoldpressed,I cannot anymore.
onionsucker,"Alone, drunk and fucking miserable"
Mestiza76,I'm planning to kill myself next week
BimoUK,Ever wish you could just will yourself out of existence?
McFillet01,Experience with repressed memories?
soupsumyunguy,I am banned from the nation suicide lifeline
sicamngo,I'm having a hard week. Please tell me everything is going to be okay.
1nt3rnalv01d,Does anyone else feel they need to escape their own mind ?
humanbratzdoll,Do you ever trigger yourself on purpose?
rutgers_throwaway123,celebrating small college achievements
commonbrahmin,Progress
circinia,Regular Check-In Post
SQLwitch,"Our most-broken and least-understood rules is ""helpers may not invite private contact as a first resort"", so we've made a new wiki to explain it"
erieands,Does anyone else listen to music for hours and daydream of a life they don’t have?
LaurenieLulu,Does anyone else sleep a lot to escape the pain?
DepressedTeen1603,Depression has made me dumber.
123ww55ssopa,The whole concept of family is bullshit .
MinelanMedia,I feel like I have no reason to be sad compared to what others are going through.
SomeSpeedyBoi,I took a shower without my mom telling me to do so
cake-day-every-day,Frozen 2 has the best portrayal of depression I think I’ve ever seen.
CocoLoco29,Any fellow Americans dreading thanksgiving tomorrow?
meditate03,Does anyone else talk softly because projecting your voice takes too much energy?
secretlyslytherin,Anyone else sick of people acting like meditation can solve all your problems?
lokiues,I physically and emotionally can't feel.
johnny_walker_lee,My psychiatrist died
GalacticHostess,I made it to work today but keep randomly having tears well up while on my calls.
IsleOfTheCheetah1331,I'm falling apart
lemonadecoldpressed,I cannot anymore.
onionsucker,"Alone, drunk and fucking miserable"
Mestiza76,I'm planning to kill myself next week
BimoUK,Ever wish you could just will yourself out of existence?
McFillet01,Experience with repressed memories?
soupsumyunguy,I am banned from the nation suicide lifeline
sicamngo,I'm having a hard week. Please tell me everything is going to be okay.
1nt3rnalv01d,Does anyone else feel they need to escape their own mind ?
humanbratzdoll,Do you ever trigger yourself on purpose?
rutgers_throwaway123,celebrating small college achievements
commonbrahmin,Progress
circinia,Regular Check-In Post
SQLwitch,"Our most-broken and least-understood rules is ""helpers may not invite private contact as a first resort"", so we've made a new wiki to explain it"
erieands,Does anyone else listen to music for hours and daydream of a life they don’t have?
LaurenieLulu,Does anyone else sleep a lot to escape the pain?
DepressedTeen1603,Depression has made me dumber.
123ww55ssopa,The whole concept of family is bullshit .
